year_num,quarter_num,region_name,country_name,city_name,P95 Recorded Value
2024,1,Eastern Europe,Belarus,Minsk,158.5675481160482
2024,2,Eastern Europe,Belarus,Minsk,215.23974609375
2024,3,Eastern Europe,Belarus,Minsk,169.20811208089194
2024,4,Eastern Europe,Belarus,Minsk,163.47271728515625
2024,1,Eastern Europe,Greece,Athens,171.21205139160156
2024,2,Eastern Europe,Greece,Athens,214.5429484049479
2024,3,Eastern Europe,Greece,Athens,151.80580139160156
2024,4,Eastern Europe,Greece,Athens,198.76376342773438
2024,1,Eastern Europe,Russia,Kazan,167.8235346476237
2024,2,Eastern Europe,Russia,Kazan,148.3310801188151
2024,3,Eastern Europe,Russia,Kazan,133.13141377766928
2024,4,Eastern Europe,Russia,Kazan,224.5298055013021
2024,1,Eastern Europe,Russia,Moscow,155.03398640950522
2024,2,Eastern Europe,Russia,Moscow,170.4895477294922
2024,3,Eastern Europe,Russia,Moscow,186.87718200683594
2024,4,Eastern Europe,Russia,Moscow,184.83717346191406
2024,1,Eastern Europe,Russia,St. Petersburg,194.43299102783203
2024,2,Eastern Europe,Russia,St. Petersburg,172.93594868977866
2024,3,Eastern Europe,Russia,St. Petersburg,209.6526896158854
2024,4,Eastern Europe,Russia,St. Petersburg,151.3147226969401
2024,1,Eastern Europe,Russia,Ufa,153.4091033935547
2024,2,Eastern Europe,Russia,Ufa,126.07907104492188
2024,3,Eastern Europe,Russia,Ufa,229.61747233072916
2024,4,Eastern Europe,Russia,Ufa,148.19438680013022
2024,1,Eastern Europe,Serbia,Belgrade,156.9988530476888
2024,2,Eastern Europe,Serbia,Belgrade,78.78218587239583
2024,3,Eastern Europe,Serbia,Belgrade,102.87723795572917
2024,4,Eastern Europe,Serbia,Belgrade,143.64317067464194
2024,1,Eastern Europe,Turkey,Ankara,145.19141133626303
2024,2,Eastern Europe,Turkey,Ankara,132.08782450358072
2024,3,Eastern Europe,Turkey,Ankara,131.00680541992188
2024,4,Eastern Europe,Turkey,Ankara,135.5402577718099
2024,1,Eastern Europe,Turkey,Istanbul,202.9287109375
2024,2,Eastern Europe,Turkey,Istanbul,218.78502400716147
2024,3,Eastern Europe,Turkey,Istanbul,202.5606435139974
2024,4,Eastern Europe,Turkey,Istanbul,201.9700469970703
